model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Qwen3-8B,0,-1.0,ridge,10,1.0,1.0,0.0,0.0003458675432533642,-0.0003458675432533642,0.0,-14.792629528045655,0.058675835387095074
Qwen3-8B,0,-1.0,random,10,1.0,1.0,0.0,0.0001950373378662551,-0.0001950373378662551,0.0,-0.022769962437450886,0.05875794369489882
Qwen3-8B,0,1.0,ridge,10,1.0,1.0,0.0,0.0003453116504794185,0.0003453116504794185,0.0,14.789130306243896,0.05867420318526974
Qwen3-8B,0,1.0,random,10,1.0,1.0,0.0,0.00027639529114451553,0.00027639529114451553,0.0,0.0264128927141428,0.0587585860973099
Qwen3-8B,1,-1.0,ridge,10,1.0,1.0,0.0,0.00022127657427972736,-0.00022127657427972736,0.0,-8.054987716674805,0.03317717501227063
Qwen3-8B,1,-1.0,random,10,1.0,1.0,0.0,0.00041654254723688666,-0.00041654254723688666,0.0,0.013328170403838158,0.03323678901885199
Qwen3-8B,1,1.0,ridge,10,1.0,1.0,0.0,0.0004470130386741378,0.0004470130386741378,0.0,8.052684783935547,0.03317722322633395
Qwen3-8B,1,1.0,random,10,1.0,1.0,0.0,-0.00022813580621838803,-0.00022813580621838803,0.0,-0.012316560000181198,0.033236564264885374
Qwen3-8B,2,-1.0,ridge,10,1.0,1.0,0.0,0.00036835746143193404,-0.00036835746143193404,0.0,-4.688083744049072,0.037105410608748356
Qwen3-8B,2,-1.0,random,10,1.0,1.0,0.0,0.00020952219374912318,-0.00020952219374912318,0.0,-0.0028654992580413817,0.03703235279877107
Qwen3-8B,2,1.0,ridge,10,1.0,1.0,0.0,-0.0014385134563119628,-0.0014385134563119628,0.0,4.690967321395874,0.037117015812137714
Qwen3-8B,2,1.0,random,10,1.0,1.0,0.0,-5.200644790885889e-05,-5.200644790885889e-05,0.0,0.0035482801496982573,0.03703467845244866
Qwen3-8B,3,-1.0,ridge,10,1.0,1.0,0.0,0.00023107650411842152,-0.00023107650411842152,0.0,-3.2182579040527344,0.03993557386416666
Qwen3-8B,3,-1.0,random,10,1.0,1.0,0.0,-8.763156537838768e-05,8.763156537838768e-05,0.0,-0.005881104059517384,0.03999585210629497
